id|year|title|genres|original_language|productions_companies|overview|tagline|budget|revenue
419704|2019|Ad Astra|Science Fiction, Drama|en|New Regency Productions|The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.|The answers we seek are just outside our reach|87500000.0|127175922.0
181812|2019|Star Wars: The Rise of Skywalker|Action, Adventure, Science Fiction|en|Lucasfilm|The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.|Every generation has a legend|250000000.0|1073604458.0
512200|2019|Jumanji: The Next Level|Adventure, Comedy, Fantasy|en|Columbia Pictures|As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.||125000000.0|310830000.0
475557|2019|Joker|Crime, Thriller, Drama|en|DC Entertainment|During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.|Put on a happy face.|55000000.0|1074151311.0
530915|2019|1917|War, Drama, Action, Thriller|en|Neal Street Productions|At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.|Time is the enemy|100000000.0|368027644.0
420817|2019|Aladdin|Adventure, Fantasy, Romance, Comedy, Family|en|Walt Disney Pictures|A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.|Choose Wisely.|183000000.0|1047612394.0
466272|2019|Once Upon a Time… in Hollywood|Comedy, Drama, Thriller|en|Heyday Films|Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…|In this town, it can all change… like that|95000000.0|374251247.0
330457|2019|Frozen II|Animation, Family, Adventure|en|Walt Disney Animation Studios|Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.|The past is not what it seems.|150000000.0|1330764959.0
429617|2019|Spider-Man: Far from Home|Action, Adventure, Science Fiction|en|Marvel Studios|Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.|It’s time to step up.|160000000.0|1131927996.0
546554|2019|Knives Out|Mystery, Thriller, Comedy, Drama, Crime|en|Lionsgate|When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.|Hell, any of them could have done it.|40000000.0|308901585.0
331482|2019|Little Women|Drama, Romance|en|Sony Pictures|Four sisters come of age in America in the aftermath of the Civil War.|Own your story|40000000.0|191540586.0
515001|2019|Jojo Rabbit|Comedy, War, Drama|en|TSG Entertainment|A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.|An anti-hate satire.|14000000.0|82468705.0
359724|2019|Ford v Ferrari|Drama, Action|en|20th Century Fox|American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.|They took the American dream for a ride|97600000.0|220803003.0
